
	Material	Material Description
	      Unrestricted	Unit

	T01023	1945 UFB1/SFV1 NOZZLE BLACK
	               35	ST


	T01024	1917 UFB1/SFV1 BAFFLE BLACK
	               34	ST


	T01025	311086000 O-RING .926 I.D.
	              124	ST


	T01026	1913 UFB1/SFV1 DIFFUSER BLACK
	               57	ST


	T01027	1923 SWITCH AND HARN SELF-SERV. UF-1
	                9	ST


	T01031	4073 O-RIG .239 I.D.
	              300	ST


	T01034	SELMIX-HANAP.EROTIN(SODA/SYRUP
	                5	ST


	T01035	42 0857 100 NON RETURN VALVE -SS Pulsar
	               10	ST


	T01040	O-RENGAS, UF-1 HANAPAKAN ISTUKKA, CORN.
	               20	ST


	T01050	ADAPTERI, RST, PROCON-PUMPPPUUN, HARTEK
	               11	ST


	T01052	86 0034 3-NAP. AMP-LIITIN, NAARAS
	              103	ST


	T01053	KUMITASSU OMEGA, CR9 TAI KIERTOMOOTTORI
	                8	ST


	T01054	KORKKIMATTO 1,5 MM OMEGA, KIERTOMOOTTORI
	               23	ST


	T01057	1922 NOZZLE ASY BLACK (INCLUDES 31-35)
	              131	ST


	T01112	J-G LIITINSARJA HAPOTUSPUMPPUUN, SUMMIT
	                9	ST


	T01200	0440VSFLAPE.000 GUARN.FLUX LEVA APERTURA
	               85	ST


	T01203	1820VSFECTR.002 FLUX ECCENTRIC
	                7	ST


	T01204	0434VSFGCTR.002 RING NUT FLUX
	                8	ST


	T01205	1820VSFLUTR.002 FLUX COMPENS.LEVER
	               99	ST


	T01206	08150330ACC.000 GRAIN INOX FLUX NR.15
	               44	ST


	T01208	0440VSFLEVM.000 GUARN.BIANCA VS FLUX LEV
	              217	ST


	T01209	0454VSFLEVM.000 OR VS FLUX X LEVA MANOPO
	               69	ST


	T01210	0870MANORES.001 MANOPOLA ERGONOMICA PLAS
	               97	ST


	T01211	GASKET SET OF FLUX TAP 2613GNIFLUX.000
	              130	ST


	T01502	645-0068-SP KIT. ASSY, PLUNDER, RET. 12B
	               50	ST


	T01503	256-0194-SP KIT, BODY, NOZZLE, BLACK
	               50	ST


	T02157	VMK7 VIRTAUSMITT. LETKUKARA + O-RENGAS
	              160	ST


	T02165	LINJAVAHDIN  KARA 10 MM + O-RENGAS + URA
	              141	ST


	T02166	LINJAVAHDIN KARA 7 MM + O-RENGAS + URA
	               25	ST


	T02177	VÄLIKAAPELI 2 M, SIVUPANEELIIN WWB
	               34	ST


	T02206	PS PERLICK-SOVITE, MUOVIA (DERLIN VALK.)
	               13	ST


	T02207	102-699 NON RETURN VALVE - PROBE
	               42	ST


	T02209	102-697 MAIN GASKET-U-SYSTEM
	              118	ST


	T02210	102-911 O-RING-U-SYSTEMS
	              100	ST


	T02211	201-432 CLEANING SPEAR KEYKEG
	               18	ST


	T02216	307-13 COUPLING FERRULE-NICKEL/CHROME
	              125	ST


	T02217	00602 SPACER -BLACK POM 30X22X22MM
	               35	ST


	T02222	405-014 CONNECTION-90-BEND,BEER 8,5mm
	               86	ST


	T02223	405-008 CONNECTION-STRAIGHT GAS,8,0mm
	              284	ST


	T02246	401-101 ANGLED BEER TAIL 10 MM
	              164	ST


	T02252	RST SUORA JATKOLIITIN 1/2"x1/2", HELMIL.
	               83	ST


	T02256	CO2-PULLON KIINNITYSHIHNA, PITUUS 1,0 M
	                2	ST


	T02268	3345 SS FITTING F.SIRAI 5,5MM
	              447	ST


	T02269	1053 NUT-SRAI R1/4" THREAD
	              141	ST


	T02287	PI0312S JG PISTOLIIT.3/8"x3/8", KULMA
	               22	ST


	T02289	PPN1/210T LETKUKARA 10 MM, ISO PROCON
	                8	ST


	T02310	157L2P WASHER
	               59	ST


	T02311	307-11 O-RING (100)
	              110	ST


	T02312	307-12 GASKET COUPLING
	              183	ST


	T02314	102-042 GASKET-PISTON, US TAP,JUNIOR TAP
	              468	ST


	T02316	102-530 NON-RETURN VALVE - CO2
	              253	ST


	T02317	102-528 O-RING 11,3 x 2,4 MM
	               80	ST


	T02318	O-RENGAS 22,2x3, MICRO-MATIC, 102-566
	               21	ST


	T02319	102-539 MAIN GASKET 50x35 MM, A-,G-,M-SY
	               94	ST


	T02320	LATTATIIVISTE 18x10x2  MM, LETKUKARA  IN
	               59	ST


	T02321	102-521 MAIN GASKET, S-SYSTEM
	               49	ST


	T02323	KARAN TIIVISTE, S-MALLIN ASTIALIITIN
	               20	ST


	T02342	138763000 SEALING WASHER, NYLON, BT-400
	              104	ST


	T02343	220104305 BALL WASHER, CORN. BT-400
	               84	ST


	T02344	573505000 COMPENSATOR BEER TAP 400
	               96	ST


	T02349	PUOLIPYÖREÄ TIIVISTE, KARAAN BT-400, MUS
	              180	ST


	T02350	KESKIKARA CORNELIUS BT-400 OLUTHANAAN
	                4	ST


	T02357	MITTALASI 500 ML, MUOVIA, 350 MM KORKEA
	                4	ST


	T02368	573114000 O-RING, CORN. BT-400
	              170	ST


	T02370	PAINEMITTARI 0-160 BAR, R1/4", 63 MM
	               13	ST


	T02408	1903748 TOOL-TAP
	               24	ST


	T02409	308-38B KNOB, FAUCET
	               66	ST


	T02411	HUOLTOAVAIN BCS-61/-23 WASH, KELT./MUSTA
	               32	ST


	T02414	MYYNTIAVAIN BCS-61/-23, SININEN
	               10	ST


	T02415	TULOSTUSAVAIN BCS-61/-23, PUNAINEN
	               15	ST


	T02416	HUOLTOAVAIN BCS-61/-23, KELTAINEN
	               28	ST


	T02419	2s2-002 CLEANING ADAPTER-S-SYSTEM
	               22	ST


	T02421	PT PESUTULPPA, MUOVIA, MICROMATIC-LIITT.
	               30	ST


	T02423	LÄPIVIENTIHOLKKI 10 MM + MESSINKIMUTTERI
	               23	ST


	T02425	OHJELMOINTIAVAIN BCS-23 WASH, MUSTA-KELT
	               44	ST


	T02434	PELTIRUUVI 2,9x13 MM, MAC-435, TORX 10
	              112	ST


	T02438	LATTATIIVISTE MAC-ANTURIIN, 15x11x2 MM
	               87	ST


	T02441	KULMATAPPI 1/4", MUOVIA, PIENI OLUTHÄLY
	               66	ST


	T02443	PELTIRUUVI 2,9x19 MM, MAC-435, TORX 10
	               61	ST


	T02446	PALAUTUSJOUSI, PIENI WWB-OLUTHÄLY
	               17	ST


	T02448	TYÖNTÖSALPA OVEEN, OLUTKÄRRYT BIERKUHL
	               51	ST


